Air-to-Air,ADM-141A,Unguided
Air-to-Air,AIM-120B,Active Radar
Air-to-Air,AIM-120C,Active Radar
Air-to-Air,AIM_120C,Active Radar
Air-to-Air,SD-10,Active Radar
Air-to-Air,AIM-54A Mk47,Semi-Active Radar
Air-to-Air,AIM-54A Mk60,Semi-Active Radar
Air-to-Air,AIM_54A_Mk60,Semi-Active Radar
Air-to-Air,AIM-54A-MK,Semi-Active Radar
Air-to-Air,AIM-54C-MK,Semi-Active Radar
Air-to-Air,AIM_54C_Mk47,Semi-Active Radar
Air-to-Air,AIM-54C Mk47,Semi-Active Radar
Air-to-Air,AIM-7E,Semi-Active Radar
Air-to-Air,AIM-7F,Semi-Active Radar
Air-to-Air,AIM-7M,Semi-Active Radar
Air-to-Air,AIM-7MH,Semi-Active Radar
Air-to-Air,AIM-9B,Infrared
Air-to-Air,AIM-9C,Semi-Active Radar
Air-to-Air,AIM-9D,Infrared
Air-to-Air,AIM-9E,Infrared
Air-to-Air,PL-5EII,Infrared
Air-to-Air,Matra_S530D,Active Radar
Air-to-Air,AIM-9G,Infrared
Air-to-Air,AIM-9H,Infrared
Air-to-Air,MMagicII,Infrared
Air-to-Air,AIM-9J,Infrared
Air-to-Air,AIM-9L,Infrared
Air-to-Air,AIM-9M,Infrared
Air-to-Air,AIM-9P,Infrared
Air-to-Air,AIM-9P5,Infrared
Air-to-Air,AIM-9X,Infrared
Air-to-Air,CAP-9M,Infrared
Air-to-Air,Mistral,Infrared
Air-to-Air,R.550,Infrared
Air-to-Air,R-13M,Infrared
Air-to-Air,R-60 (AA-8 Aphid),Infrared
Air-to-Air,R-13M1,Infrared
Air-to-Air,R-27ER,Semi-Active Radar
Air-to-Air,R-27ER (AA-10C),Semi-Active Radar
Air-to-Air,R-27ET,Infrared
Air-to-Air,R-27R,Semi-Active Radar
Air-to-Air,R-27T,Infrared
Air-to-Air,R-3R,Semi-Active Radar
Air-to-Air,R-3S,Infrared
Air-to-Air,R4M,Unguided
Air-to-Air,R-55,Infrared
Air-to-Air,R-60,Infrared
Air-to-Air,R-60M,Infrared
Air-to-Air,R-73,Infrared
Air-to-Air,R-77,Active Radar
Air-to-Air,R-73 (AA-11 Archer),Infrared
Air-to-Air,RS-2US,Semi-Active Radar
Air-to-Air,Super 530D,Semi-Active Radar
Air-to-Air,Werfer-Granate 21,Unguided
Gun,2A42,Autocannon
Gun,DEFA 554,Revolver cannon
Gun,GAU-8/A,Autocannon
Gun,GIAT 621,Autocannon
Gun,GSh-23,Autocannon
Gun,GSh-2-23,Autocannon
Gun,GSh-2-30,Autocannon
Gun,GSh-30,Autocannon
Gun,GSh-23L,Autocannon
Gun,GSh-30-2,Autocannon
